category,images,image_auroc,image_aupr,image_f1_max,pixel_auroc,pixel_aupr,pixel_aupro,pixel_f1_max,defect_type_accuracy,defect_type_macro_f1,total_seconds
candle,200,0.9124,0.909785345968408,0.8446601941747572,0.9939927061101075,0.4582948760152537,0.969606865856819,0.5248173614095402,,,129.82027128199115
capsules,160,0.9866666666666667,0.9920359090255549,0.9595959595959596,0.9915773632611974,0.39103343664249424,0.9487383687112777,0.4725225831151765,,,96.6236908909923
cashew,150,0.9793999999999999,0.9889455236173044,0.9556650246305419,0.9861726065701045,0.5220455610127097,0.9806928210628928,0.5348501732755232,,,95.17164494600729
chewinggum,150,0.985,0.992995930766541,0.9644670050761421,0.9940850752823047,0.8298181867414856,0.9415361274045116,0.7798768949523041,,,94.10356711799977
fryum,150,0.9376,0.9711586151502123,0.9047619047619048,0.9730773066929255,0.4597046521636948,0.9190013002234839,0.5009273041913435,,,112.04681030201027
macaroni1,200,0.9475,0.9419529190188902,0.8899082568807339,0.9951023830819828,0.26376997118119194,0.9566793966466166,0.3298031659308764,,,124.70571152999764
macaroni2,200,0.8008,0.7291635098894997,0.7853881278538812,0.9933782700767411,0.1734381755866373,0.9359107341669387,0.2727108068777286,,,175.5079203369969
pcb1,200,0.8779,0.8490178871411981,0.84375,0.9939438005648445,0.7205911721074342,0.9221162388450871,0.7575524584190492,,,122.94282774199382
pcb2,200,0.9314,0.8886584188498456,0.897196261682243,0.9672946469848139,0.40660706653075773,0.9150036606630001,0.48153675331741236,,,180.62416996399406
pcb3,201,0.9471287128712871,0.953839341861953,0.8888888888888888,0.9738519317372759,0.4216444945313954,0.9060705575455401,0.48234282460577843,,,178.4094063040102
pcb4,201,0.986039603960396,0.9825225916187431,0.9607843137254902,0.9655894445911694,0.283890040183374,0.8982006213195334,0.3211337315374578,,,156.2391740210005
pipe_fryum,150,0.9666,0.9819762426996499,0.9428571428571428,0.9884845420614747,0.4462447959528958,0.9726187836893182,0.5293005103047008,,,91.49660744902212
macro_average,,0.9382029152915292,0.93183768630065,0.9031602566773071,0.9847125064179117,0.44809020238744374,0.938847956344585,0.4989478806614076,,,
